customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class
MM45334,Oregon,F,College,816951,40803,71,3,123,Personal Auto,Four-Door Car
KH93988,Oregon,F,College,770888,71134,98,3,196,Personal Auto,Two-Door Car
RY38931,Arizona,M,Bachelor,552821,36088,72,0,346,Personal Auto,Four-Door Car
CV48634,Nevada,M,College,1212845,29431,103,0,238,Personal Auto,SUV
TN76120,Washington,M,Bachelor,552821,36088,72,0,346,Personal Auto,Four-Door Car
ZS96174,Oregon,M,College,679684,17937,65,0,312,Personal Auto,Two-Door Car
MI62456,Arizona,F,Bachelor,286731,23376,78,0,374,Personal Auto,Four-Door Car
DD44177,California,F,Doctor,239557,21986,63,0,334,Personal Auto,Two-Door Car
NX31380,Arizona,F,Bachelor,709417,23032,89,0,427,Corporate Auto,Four-Door Car
KQ43374,Oregon,F,College,412809,32114,104,0,445,Corporate Auto,SUV
XA54112,California,M,Bachelor,404694,13330,117,0,562,Corporate Auto,SUV
QB14087,California,F,College,486928,44934,61,0,358,Personal Auto,Four-Door Car
FV42881,Oregon,F,College,290215,96137,73,2,67,Corporate Auto,Two-Door Car
AV76907,Oregon,F,College,428295,40864,109,1,167,Personal Auto,SUV
VM85555,California,F,College,775012,22668,67,1,34,Personal Auto,Four-Door Car
ZU88113,Oregon,M,College,662717,90751,82,1,316,Personal Auto,Two-Door Car
SZ75668,Oregon,M,College,747461,44186,64,2,295,Personal Auto,Four-Door Car
MZ65087,Oregon,M,College,556129,92678,70,0,35,Personal Auto,Four-Door Car
EL61402,Arizona,F,Bachelor,609846,74257,76,0,215,Personal Auto,Four-Door Car
CJ31839,California,M,Bachelor,285953,99981,71,0,205,Special Auto,Four-Door Car
XM11175,Arizona,M,College,599442,0,91,0,655,Personal Auto,Four-Door Car
LF41085,Arizona,F,College,563525,19591,74,0,96,Personal Auto,Two-Door Car
MB19556,California,F,College,506721,29095,127,0,664,Personal Auto,SUV
HC74532,Oregon,F,Bachelor,226328,0,62,0,390,Corporate Auto,Four-Door Car
SB66770,Arizona,M,Master,1443567,60880,119,0,110,Corporate Auto,Two-Door Car
JI25066,Arizona,F,Bachelor,492840,61785,61,0,271,Personal Auto,Two-Door Car
PY98958,Oregon,M,Bachelor,1203662,44428,104,0,499,Special Auto,SUV
RA65645,California,M,High School or Below,856477,95697,107,0,178,Personal Auto,Luxury
FQ79356,California,F,Bachelor,236188,18064,63,2,183,Personal Auto,Four-Door Car
TM25808,California,M,High School or Below,556569,74720,70,0,201,Personal Auto,Two-Door Car
XO46388,California,F,Bachelor,514681,22594,67,0,322,Personal Auto,Four-Door Car
LB81265,Arizona,F,Bachelor,293808,40987,73,0,329,Personal Auto,Four-Door Car
JR38787,Nevada,M,High School or Below,1443275,24561,126,0,853,Personal Auto,SUV
KZ22690,California,F,College,1302742,76456,83,1,43,Personal Auto,Four-Door Car
NY49598,California,M,College,245199,65828,62,0,298,Personal Auto,Four-Door Car
KY39767,Oregon,F,College,466198,0,68,1,490,Personal Auto,Four-Door Car
YU35386,Arizona,F,Bachelor,560001,63621,70,0,445,Personal Auto,Four-Door Car
TF82172,Arizona,M,College,401613,10074,107,0,109,Corporate Auto,SUV
ER40041,Oregon,F,College,2219580,78965,183,0,146,Personal Auto,Luxury
MS39869,Nevada,F,College,734335,0,68,0,479,Personal Auto,Four-Door Car
PV77906,Arizona,M,Bachelor,480451,23604,64,0,461,Corporate Auto,Two-Door Car
QF21045,Oregon,F,College,273554,99205,68,0,323,Personal Auto,Two-Door Car
HF65914,Arizona,M,College,694097,0,92,0,442,Personal Auto,Two-Door Car
AJ58038,California,F,Bachelor,239622,0,66,2,433,Corporate Auto,Four-Door Car
ZR88383,Nevada,F,College,538090,55350,67,0,322,Personal Auto,Four-Door Car
OT49339,Oregon,M,College,843282,21052,111,0,454,Corporate Auto,SUV
FI74985,Oregon,F,High School or Below,755651,0,69,0,497,Personal Auto,Four-Door Car
JW15301,Arizona,M,High School or Below,778743,24664,69,0,497,Corporate Auto,Four-Door Car
PY20159,Nevada,M,College,478781,45225,124,0,209,Corporate Auto,Luxury
NC42524,California,M,College,970765,30430,86,0,426,Special Auto,Four-Door Car
ZG19911,California,F,Bachelor,255223,35149,64,0,120,Personal Auto,Two-Door Car
DI89983,California,M,Bachelor,522343,16513,71,0,341,Personal Auto,Four-Door Car
IG56214,Nevada,M,High School or Below,501045,10892,66,0,317,Personal Auto,Four-Door Car
CA86085,Washington,M,High School or Below,560832,67176,72,0,346,Personal Auto,Four-Door Car
UO95739,Oregon,M,College,445794,54704,113,0,468,Personal Auto,SUV
SB64873,Oregon,M,Doctor,820079,25381,71,0,341,Personal Auto,Four-Door Car
TE82896,Oregon,F,High School or Below,274608,0,74,0,355,Personal Auto,Four-Door Car
VY64199,Oregon,F,Bachelor,1021578,18150,67,0,220,Corporate Auto,Four-Door Car
IE82679,California,M,Bachelor,245357,29735,69,0,331,Personal Auto,Four-Door Car
SL70257,Nevada,F,College,587296,77156,73,0,446,Personal Auto,Four-Door Car
XJ85947,Oregon,F,College,311893,88782,78,0,358,Personal Auto,Four-Door Car
EF84269,California,F,College,556866,51489,139,0,237,Personal Auto,SUV
NY91328,California,F,Bachelor,902971,16972,125,0,600,Personal Auto,SUV
AT49447,California,M,Bachelor,759183,99359,95,0,233,Personal Auto,Two-Door Car
BM70908,Arizona,M,College,225531,58289,62,4,298,Personal Auto,Two-Door Car
GM63998,Oregon,F,Doctor,3261369,45173,268,0,1286,Personal Auto,Luxury
AR61426,California,F,Bachelor,944565,93246,78,0,42,Personal Auto,Two-Door Car
CB62406,Arizona,M,High School or Below,680360,43758,171,0,1130,Corporate Auto,SUV
WH82416,Oregon,M,Bachelor,976622,75651,81,0,375,Personal Auto,Four-Door Car
UI53874,Arizona,F,Doctor,729485,0,67,0,322,Personal Auto,Four-Door Car
LM44949,Oregon,F,Doctor,568252,36938,70,0,245,Special Auto,Four-Door Car
JR59597,California,M,Bachelor,633294,50843,82,0,394,Personal Auto,Two-Door Car
ZS22428,California,F,Bachelor,491658,21907,62,0,3,Personal Auto,Four-Door Car
AZ34845,California,F,Bachelor,479824,77846,119,0,342,Personal Auto,Luxury
XZ34917,Washington,M,Bachelor,564380,41043,72,0,346,Personal Auto,Four-Door Car
QU20310,Arizona,F,High School or Below,924746,97030,76,0,417,Corporate Auto,Four-Door Car
NQ42020,Oregon,M,High School or Below,732293,80864,182,0,618,Personal Auto,Luxury
ZF40143,Nevada,F,College,827590,48197,106,0,509,Personal Auto,Four-Door Car
GU65780,California,M,Doctor,563540,70837,73,4,363,Personal Auto,Four-Door Car
KY32675,Arizona,M,High School or Below,1497029,85297,93,0,620,Special Auto,Two-Door Car
ZX35838,Oregon,F,Master,933634,70177,115,0,226,Personal Auto,Four-Door Car
LU42720,Nevada,M,College,4835696,52499,138,0,1172,Personal Auto,SUV
FB25242,Oregon,M,College,568692,63143,71,0,341,Corporate Auto,Four-Door Car
RW51650,Oregon,M,Bachelor,862284,97361,73,0,350,Personal Auto,Four-Door Car
XX94684,Nevada,M,High School or Below,507967,50052,130,0,624,Personal Auto,Luxury
AH99727,Arizona,F,Bachelor,562331,11612,71,0,341,Personal Auto,Four-Door Car
NZ85858,Arizona,F,High School or Below,527001,78115,65,0,255,Personal Auto,Four-Door Car
JU19953,California,F,Master,862117,81947,71,0,204,Personal Auto,Two-Door Car
LC33025,Oregon,M,College,791833,44698,211,4,1013,Personal Auto,Luxury
BV86143,California,F,High School or Below,2103402,26876,66,0,219,Personal Auto,Four-Door Car
AY88788,Oregon,F,College,1541768,69841,192,0,879,Personal Auto,Luxury
OJ33945,Oregon,F,High School or Below,869264,97768,72,0,152,Personal Auto,Two-Door Car
LO84523,Oregon,M,High School or Below,650314,0,187,0,1589,Personal Auto,Luxury
HZ25580,Washington,F,High School or Below,239619,39062,61,0,347,Corporate Auto,Two-Door Car
AR96516,Oregon,F,Bachelor,591495,50217,74,0,355,Personal Auto,Two-Door Car
JP69864,Washington,F,Bachelor,224845,24910,63,1,348,Personal Auto,Four-Door Car
DL26809,Nevada,M,College,682680,0,68,0,490,Personal Auto,Two-Door Car
MV69686,Oregon,F,Doctor,398218,38500,99,1,423,Corporate Auto,Four-Door Car
SC95565,Nevada,F,High School or Below,288778,62018,71,0,294,Personal Auto,Two-Door Car
RL31641,Oregon,F,College,225242,0,65,0,468,Personal Auto,Two-Door Car
OH83248,California,M,Master,845853,57394,106,0,316,Personal Auto,Four-Door Car
DB28979,California,M,Bachelor,747831,23530,65,0,312,Corporate Auto,Two-Door Car
ZS32263,California,F,High School or Below,378865,48887,95,0,456,Personal Auto,Four-Door Car
IY59173,Oregon,F,Master,522069,68867,129,0,619,Personal Auto,SUV
KL17620,California,F,College,713029,12062,63,0,302,Corporate Auto,Four-Door Car
CP28581,Arizona,M,College,851359,59230,107,0,245,Personal Auto,SUV
QR15592,Arizona,F,Bachelor,566013,59586,72,0,91,Personal Auto,Four-Door Car
RI85578,Washington,F,Bachelor,263814,79699,65,0,349,Personal Auto,Two-Door Car
TG68823,Arizona,F,Bachelor,531890,25134,67,0,322,Personal Auto,Four-Door Car
WO78310,Oregon,F,College,416016,0,61,0,293,Personal Auto,Four-Door Car
SC78905,Oregon,F,College,223735,0,61,0,293,Personal Auto,Four-Door Car
EL88957,California,M,College,346012,0,100,1,720,Personal Auto,SUV
SS54050,California,M,Bachelor,1600551,44901,70,2,461,Personal Auto,Four-Door Car
ZV99487,Arizona,F,Bachelor,698660,0,93,0,149,Personal Auto,Four-Door Car
XI51746,Oregon,F,Bachelor,882696,28463,113,2,324,Personal Auto,SUV
KG85675,Nevada,F,Bachelor,472687,13037,124,0,839,Personal Auto,SUV
KK64803,California,M,High School or Below,2744347,82320,99,1,475,Personal Auto,Four-Door Car
OM80593,California,F,Bachelor,724731,0,104,0,499,Personal Auto,SUV
RL59810,Oregon,F,College,513785,78460,64,0,204,Personal Auto,Four-Door Car
QQ53360,Nevada,M,College,273906,0,92,4,657,Personal Auto,Two-Door Car
WR76339,California,M,College,509279,46922,64,0,403,Corporate Auto,Two-Door Car
BA40043,California,M,College,579983,60689,74,0,6,Corporate Auto,Four-Door Car
MK52197,Nevada,F,Master,550706,0,71,0,341,Personal Auto,Four-Door Car
SV48204,Oregon,F,College,1048492,61108,89,0,49,Personal Auto,Four-Door Car
RJ79502,Arizona,M,Bachelor,850128,98003,107,0,449,Personal Auto,SUV
LY14355,Washington,F,High School or Below,293599,73847,73,1,350,Personal Auto,Two-Door Car
NL32558,Arizona,F,High School or Below,650340,22081,84,0,452,Personal Auto,Two-Door Car
CP92616,Nevada,M,High School or Below,4680522,83006,235,1,1065,Personal Auto,Luxury
BP28492,Arizona,F,College,483471,38713,66,4,317,Corporate Auto,Four-Door Car
MX28412,Oregon,F,College,257532,28700,68,3,326,Personal Auto,Four-Door Car
DT99586,California,F,Master,3711166,61552,115,0,12,Personal Auto,SUV
IC41932,Nevada,M,College,437119,56718,113,1,542,Personal Auto,SUV
DA35744,Oregon,M,Doctor,1679634,66776,71,0,132,Corporate Auto,Four-Door Car
GU96042,California,M,High School or Below,798851,58268,67,0,229,Corporate Auto,Two-Door Car
UW98698,California,M,College,226984,0,68,0,542,Personal Auto,Four-Door Car
SF32458,California,M,Doctor,499147,12608,66,1,215,Personal Auto,Four-Door Car
OM85313,California,M,Master,292193,63499,73,0,279,Personal Auto,Four-Door Car
MH81246,Oregon,M,High School or Below,761319,36247,96,0,330,Corporate Auto,Four-Door Car
OH99089,California,F,Master,582741,30228,73,0,163,Personal Auto,Four-Door Car
TG57800,Oregon,F,College,260064,0,74,0,501,Personal Auto,Two-Door Car
GX19342,California,F,High School or Below,849147,0,116,0,1193,Personal Auto,Four-Door Car
XE39286,Arizona,F,Bachelor,977873,99364,121,0,581,Personal Auto,Luxury
JA93297,California,M,Bachelor,2265854,23665,67,0,405,Personal Auto,Four-Door Car
II37789,Arizona,F,College,1000403,0,94,0,807,Corporate Auto,Four-Door Car
IC32996,Oregon,M,High School or Below,487277,69247,61,1,227,Corporate Auto,Two-Door Car
LO67195,Arizona,F,College,744481,56047,92,0,83,Corporate Auto,Four-Door Car
PG93638,Oregon,M,College,576111,28919,73,0,208,Personal Auto,Two-Door Car
OZ41737,Oregon,F,Doctor,536678,0,70,0,223,Personal Auto,Four-Door Car
OY66019,Oregon,F,College,625948,0,83,0,254,Personal Auto,Four-Door Car
CH73843,Arizona,M,High School or Below,762358,69900,64,0,34,Personal Auto,Two-Door Car
XT93203,California,M,High School or Below,1096396,55687,276,0,1325,Personal Auto,Luxury
OR85652,Oregon,F,Bachelor,742785,78294,92,0,181,Personal Auto,Four-Door Car
LR10110,Washington,F,Bachelor,550414,0,73,0,350,Corporate Auto,Four-Door Car
XK11432,Arizona,M,Bachelor,466513,0,62,0,298,Personal Auto,Two-Door Car
OX24868,California,F,High School or Below,602184,0,168,0,1477,Personal Auto,SUV
EZ74530,Nevada,M,High School or Below,307411,0,104,3,749,Personal Auto,Luxury
HP46467,Oregon,F,College,495309,21385,127,0,610,Corporate Auto,SUV
KP54476,California,M,Master,778049,87128,97,0,496,Personal Auto,Two-Door Car
AI47152,Nevada,F,College,799278,35434,66,0,297,Personal Auto,Four-Door Car
BU15334,California,F,Master,417069,29462,107,1,514,Corporate Auto,SUV
GD59796,Nevada,F,College,2322824,53243,102,3,490,Personal Auto,Four-Door Car
OX59701,California,M,High School or Below,544582,21006,139,1,667,Personal Auto,SUV
OD63728,California,F,College,455850,0,65,0,312,Personal Auto,Two-Door Car
JC38573,Oregon,M,Bachelor,552821,36088,72,0,346,Corporate Auto,Four-Door Car
RC11491,Oregon,F,College,1039067,28948,131,0,296,Corporate Auto,SUV
RZ24101,Nevada,F,College,714255,24417,185,0,888,Personal Auto,SUV
OB88698,Oregon,M,High School or Below,546954,67099,69,0,23,Personal Auto,Two-Door Car
IK92617,Oregon,F,Bachelor,1162873,97830,96,0,298,Personal Auto,Four-Door Car
YH43996,Arizona,M,College,1018965,0,101,0,727,Personal Auto,Four-Door Car
BJ65040,Arizona,F,High School or Below,273343,93558,67,0,478,Personal Auto,Four-Door Car
WY57101,Arizona,F,Doctor,401445,37384,99,0,475,Personal Auto,Four-Door Car
OG77759,Arizona,M,Bachelor,711953,28227,62,0,551,Personal Auto,Four-Door Car
HN38084,Nevada,M,High School or Below,1177279,51008,74,0,355,Corporate Auto,Two-Door Car
GD11927,California,M,High School or Below,238179,78185,61,0,293,Personal Auto,Four-Door Car
MC20349,California,F,Bachelor,520835,0,74,0,533,Personal Auto,Four-Door Car
HM22034,Nevada,M,College,501873,0,68,0,670,Personal Auto,Four-Door Car
KH48996,Arizona,F,Bachelor,1190054,97205,100,2,6,Personal Auto,Luxury
VF32979,Washington,F,Bachelor,580017,25472,73,0,350,Corporate Auto,Four-Door Car
LS90887,California,F,Bachelor,567438,26225,72,1,321,Special Auto,Four-Door Car
EN72010,Oregon,M,College,727143,20545,70,0,336,Personal Auto,Two-Door Car
KH44031,Oregon,F,Master,316449,0,83,0,398,Personal Auto,Four-Door Car
GJ47896,Arizona,F,College,266103,35503,67,0,216,Personal Auto,Two-Door Car
GD87742,Oregon,F,College,1414056,58988,118,0,566,Personal Auto,Luxury
MD14027,Nevada,F,Bachelor,765423,0,74,1,355,Personal Auto,Two-Door Car
XA32915,Nevada,M,High School or Below,219974,0,64,0,685,Personal Auto,Two-Door Car
XR52852,Oregon,F,College,200435,0,66,4,317,Special Auto,Four-Door Car
EZ48947,Nevada,M,College,1311111,67197,111,0,148,Special Auto,SUV
OJ50322,Nevada,M,High School or Below,1576260,39032,198,0,950,Personal Auto,SUV
XB77333,Oregon,F,College,1319793,0,68,3,326,Personal Auto,Four-Door Car
QB58745,California,M,High School or Below,278754,34927,70,0,242,Personal Auto,Two-Door Car
IG62421,Nevada,M,Doctor,343613,30817,88,0,92,Personal Auto,Four-Door Car
SF29724,California,F,Bachelor,271337,31535,70,0,91,Personal Auto,Four-Door Car
WM95454,California,F,Bachelor,286731,23376,78,0,374,Personal Auto,Four-Door Car
CB96381,California,F,College,1459025,46244,62,0,255,Corporate Auto,Four-Door Car
MJ60422,Arizona,M,Bachelor,665247,34886,84,0,403,Personal Auto,Two-Door Car
NC63295,Arizona,M,High School or Below,244462,0,66,0,317,Corporate Auto,Four-Door Car
CM55703,Washington,F,College,289692,33746,74,1,355,Personal Auto,Two-Door Car
ZE76673,Oregon,M,Doctor,1097207,24164,137,0,658,Personal Auto,Luxury
TO60700,Washington,F,Bachelor,562705,25859,74,0,355,Special Auto,Four-Door Car
WF34690,Oregon,F,Bachelor,1935737,0,68,1,326,Personal Auto,Four-Door Car
ZM28138,Arizona,F,Bachelor,722712,40153,61,0,340,Personal Auto,Four-Door Car
FI14842,Nevada,F,College,785730,0,104,0,499,Personal Auto,SUV
KC32511,Oregon,F,Master,518162,97131,64,0,307,Personal Auto,Four-Door Car
NE10467,Arizona,F,High School or Below,428106,23712,106,0,509,Corporate Auto,SUV
PT93474,Oregon,F,Bachelor,1151316,0,64,0,307,Personal Auto,Four-Door Car
RL74454,Nevada,F,Bachelor,514711,33171,65,0,237,Personal Auto,Four-Door Car
DQ31994,Nevada,F,College,866350,0,83,1,398,Corporate Auto,Four-Door Car
DN98431,Oregon,F,High School or Below,253532,0,68,0,326,Corporate Auto,Four-Door Car
EV53200,Nevada,M,College,2150434,60228,112,1,286,Personal Auto,SUV
AJ89107,Arizona,M,High School or Below,734933,27072,93,0,565,Personal Auto,Four-Door Car
WS25565,California,M,Master,850985,26057,74,0,524,Personal Auto,Four-Door Car
ZY33234,Nevada,F,High School or Below,429719,66331,107,0,514,Personal Auto,Two-Door Car
PS69748,Washington,M,College,871705,83846,74,3,355,Personal Auto,Four-Door Car
HL33607,Washington,M,College,871705,83846,74,3,355,Personal Auto,Four-Door Car
DG90902,California,F,College,1747664,45106,73,0,350,Personal Auto,Four-Door Car
SW96063,Arizona,F,Bachelor,1047990,78435,130,0,554,Personal Auto,SUV
CP19929,California,F,Bachelor,224257,0,63,1,454,Corporate Auto,Two-Door Car
KR50062,Oregon,M,College,275446,79507,70,3,442,Personal Auto,Two-Door Car
CU19735,Arizona,M,High School or Below,804120,44986,101,0,624,Corporate Auto,SUV
ST52914,Arizona,M,College,604291,25899,79,0,569,Personal Auto,Two-Door Car
WQ68301,Oregon,M,Bachelor,282744,13610,74,0,355,Personal Auto,Four-Door Car
LR33381,Nevada,M,Doctor,2204186,0,65,0,312,Personal Auto,Four-Door Car
UR36912,California,M,Bachelor,279680,77362,70,0,387,Personal Auto,Two-Door Car
SK46419,California,M,High School or Below,407285,96443,102,0,490,Personal Auto,SUV
BY88757,California,M,Master,518246,0,135,1,940,Personal Auto,SUV
ER65086,Nevada,M,Doctor,613166,90778,76,0,62,Personal Auto,Four-Door Car
TP87527,California,F,High School or Below,239213,0,65,0,361,Corporate Auto,Four-Door Car
VL80291,Nevada,F,Master,320966,78494,79,0,122,Personal Auto,Two-Door Car
WL45773,California,F,Doctor,280861,83497,69,0,197,Special Auto,Four-Door Car
TT36693,Nevada,M,College,436293,58842,110,0,528,Personal Auto,Four-Door Car
PT12544,Arizona,M,College,688047,63935,87,0,222,Personal Auto,Four-Door Car
CI24326,Oregon,M,Bachelor,359107,0,96,0,461,Personal Auto,Four-Door Car
YQ73717,California,M,High School or Below,520125,0,69,0,331,Personal Auto,Four-Door Car
FG99706,Oregon,F,College,552154,0,77,0,370,Personal Auto,Four-Door Car
OM63414,Arizona,F,Bachelor,507165,62258,65,0,117,Personal Auto,Two-Door Car
JQ74890,Nevada,M,Bachelor,292168,0,80,0,739,Corporate Auto,Four-Door Car
FP93662,California,F,Master,1580653,58516,98,0,470,Corporate Auto,Two-Door Car
SA40041,Washington,F,Bachelor,574988,22814,73,0,361,Personal Auto,Four-Door Car
EW82164,California,F,Bachelor,416742,56901,104,0,499,Personal Auto,SUV
KV99550,California,M,High School or Below,651495,0,61,1,293,Personal Auto,Four-Door Car
CA96230,California,M,Doctor,918952,99443,117,4,228,Personal Auto,SUV
QN17712,Oregon,F,College,823122,0,113,0,373,Personal Auto,SUV
KM79894,Arizona,M,Master,309518,88246,77,1,429,Corporate Auto,Four-Door Car
KR25511,Washington,M,High School or Below,600521,26876,76,0,365,Corporate Auto,Four-Door Car
DZ45471,Nevada,M,College,758211,64801,64,0,268,Personal Auto,Four-Door Car
DE18949,Oregon,F,College,1634461,57029,68,0,136,Corporate Auto,Two-Door Car
BN74268,Arizona,F,College,1176315,28045,99,0,475,Personal Auto,Four-Door Car
QJ93301,Nevada,M,Master,405337,44661,101,0,437,Personal Auto,Two-Door Car
OO92815,Arizona,F,High School or Below,331116,21246,83,0,398,Personal Auto,Four-Door Car
HV50891,Nevada,M,Doctor,352804,31278,92,4,442,Personal Auto,Two-Door Car
RK59543,California,F,High School or Below,559539,74454,71,0,341,Personal Auto,Four-Door Car
IH54239,California,M,Master,508969,62474,63,0,112,Personal Auto,Four-Door Car
GB14456,Nevada,M,High School or Below,2233716,0,130,0,1377,Personal Auto,SUV
RC95515,Arizona,M,College,479283,20647,63,0,185,Personal Auto,Four-Door Car
TI61458,California,F,Bachelor,2778969,33806,89,0,396,Personal Auto,Four-Door Car
RB49468,Oregon,F,Bachelor,751166,0,70,0,340,Personal Auto,Four-Door Car
SJ18454,Oregon,M,High School or Below,1876755,0,111,0,900,Personal Auto,Luxury
KC19420,California,F,College,498764,19589,127,0,1027,Personal Auto,SUV
TP12241,California,F,College,512320,22338,67,1,308,Personal Auto,Two-Door Car
BD89564,Nevada,M,College,598977,66839,154,0,739,Personal Auto,Luxury
EC71986,Washington,F,High School or Below,242928,26736,63,0,368,Personal Auto,Four-Door Car
CJ97736,Oregon,F,College,582818,31364,74,0,461,Personal Auto,Four-Door Car
QF59448,Washington,M,College,283159,17752,77,0,370,Personal Auto,Four-Door Car
YB70005,Oregon,M,College,976794,36225,123,0,221,Special Auto,SUV
QI40455,Oregon,F,Doctor,1209791,0,107,0,271,Personal Auto,SUV
YL72747,California,M,High School or Below,226532,0,61,0,293,Personal Auto,Four-Door Car
FL18392,California,F,Bachelor,571909,77601,71,0,277,Personal Auto,Two-Door Car
AL21967,Oregon,M,Master,1017148,74243,84,0,71,Corporate Auto,Four-Door Car
KC67431,California,F,College,1051716,46707,133,0,81,Personal Auto,Luxury
EG40823,Oregon,F,Bachelor,430347,0,116,0,766,Personal Auto,SUV
QO89177,California,M,College,1192675,50234,101,0,485,Personal Auto,Four-Door Car
AV72430,Oregon,M,Master,1653170,75526,103,1,494,Personal Auto,Four-Door Car
TL18087,Washington,M,Bachelor,305928,65083,77,0,370,Personal Auto,Four-Door Car
WI29961,Nevada,M,High School or Below,543744,28343,69,0,331,Personal Auto,Two-Door Car
ZR11692,California,M,Bachelor,510330,74948,64,0,217,Corporate Auto,Four-Door Car
No36572,Oregon,M,High School or Below,458310,22728,116,0,557,Personal Auto,Four-Door Car
YZ56105,California,F,High School or Below,640963,0,99,2,713,Personal Auto,Two-Door Car
MN62189,California,F,High School or Below,899198,17331,117,0,1138,Personal Auto,SUV
MQ32284,California,F,College,1223278,35133,102,0,693,Personal Auto,SUV
NS38229,Nevada,F,College,512604,63147,64,0,88,Personal Auto,Four-Door Car
IB41597,California,F,College,1101416,67575,91,0,402,Personal Auto,Four-Door Car
IP68868,Oregon,M,High School or Below,381962,0,111,0,799,Personal Auto,Two-Door Car
EL70257,California,F,High School or Below,840440,48315,71,0,341,Personal Auto,Four-Door Car
NB27041,Arizona,F,High School or Below,903567,34337,113,0,542,Corporate Auto,Four-Door Car
BM28359,Oregon,M,High School or Below,545371,33818,72,4,342,Personal Auto,Four-Door Car
VB77950,California,F,High School or Below,376637,22439,98,0,470,Personal Auto,Four-Door Car
PE47967,Oregon,F,College,728393,79055,186,1,178,Personal Auto,Luxury
QR47308,Nevada,F,College,274525,45191,69,0,331,Personal Auto,Four-Door Car
YU49449,California,M,Bachelor,262628,41990,66,0,317,Personal Auto,Four-Door Car
KN25124,Oregon,F,Master,245682,50979,61,1,263,Personal Auto,Two-Door Car
HI51182,Oregon,F,College,845368,59888,106,0,713,Personal Auto,Four-Door Car
MS18916,California,M,College,350857,20978,98,1,1176,Personal Auto,Four-Door Car
IE40701,California,M,High School or Below,287735,32807,73,0,350,Personal Auto,Four-Door Car
UT48216,Nevada,M,College,784017,58414,210,2,1008,Personal Auto,Luxury
VN92740,Arizona,F,College,277104,50071,71,0,19,Corporate Auto,Two-Door Car
IZ55070,Nevada,F,High School or Below,533949,67796,69,4,331,Personal Auto,Four-Door Car
HI74419,Washington,M,College,809288,50825,102,0,370,Personal Auto,SUV
MP76478,Washington,F,High School or Below,864650,64125,108,0,370,Corporate Auto,SUV
DY30071,Oregon,M,Bachelor,565924,69387,71,0,72,Personal Auto,Four-Door Car
ZN24083,Oregon,M,Doctor,553246,29084,71,1,492,Corporate Auto,Four-Door Car
JU74347,Oregon,M,Bachelor,794351,60214,100,1,291,Corporate Auto,Luxury
YJ35850,Oregon,M,High School or Below,977461,96018,122,0,391,Personal Auto,SUV
IE15348,Washington,F,High School or Below,406700,28466,102,0,372,Personal Auto,SUV
GP67816,California,F,High School or Below,2320839,60233,116,0,481,Personal Auto,Two-Door Car
PW51793,Oregon,M,Bachelor,732589,52920,93,0,1101,Personal Auto,Four-Door Car
UF59346,California,M,Bachelor,417034,90310,104,0,166,Personal Auto,SUV
FG29932,California,M,College,784017,58414,210,2,1008,Special Auto,Luxury
UX71137,Washington,F,Doctor,887597,69205,110,0,372,Personal Auto,Four-Door Car
BY54111,Oregon,M,High School or Below,1937891,21159,73,0,350,Personal Auto,Four-Door Car
RM83767,Washington,M,College,597100,64008,85,5,373,Personal Auto,Four-Door Car
PT15464,Arizona,F,Bachelor,914888,68236,114,0,21,Personal Auto,SUV
BP92643,Arizona,F,High School or Below,1377098,59207,116,0,557,Personal Auto,Four-Door Car
BW94308,Washington,F,High School or Below,2009689,92766,71,0,379,Personal Auto,Two-Door Car
GQ46925,Arizona,M,High School or Below,582168,77563,143,0,546,Personal Auto,Luxury
RF14806,Arizona,F,College,309580,33415,78,0,374,Personal Auto,Four-Door Car
KJ23009,California,F,Bachelor,1059854,20179,133,1,638,Corporate Auto,SUV
IB81655,California,M,Bachelor,769512,50147,101,0,485,Personal Auto,SUV
SV62436,Washington,F,Bachelor,304179,13789,79,0,379,Personal Auto,Four-Door Car
HR64684,Oregon,M,Master,868982,0,99,5,475,Personal Auto,Four-Door Car
QS96715,Nevada,F,High School or Below,813178,93715,102,2,255,Personal Auto,SUV
SW55711,Oregon,M,High School or Below,381532,23540,103,2,494,Corporate Auto,Two-Door Car
LZ19268,California,F,College,1163890,25370,102,0,490,Personal Auto,Luxury
FU74983,Nevada,F,Bachelor,2280054,68771,96,0,276,Personal Auto,Four-Door Car
KB99097,California,F,Bachelor,446300,0,73,3,350,Special Auto,Two-Door Car
AP52126,Oregon,F,College,1315183,68562,108,0,228,Personal Auto,SUV
EX61844,Arizona,M,High School or Below,1401998,36733,71,0,327,Personal Auto,Four-Door Car
QC30857,Nevada,F,College,293116,45768,73,0,192,Personal Auto,Two-Door Car
RT69513,California,F,Bachelor,477475,0,64,0,307,Personal Auto,Four-Door Car
HV85198,Arizona,M,Master,847142,63513,70,0,186,Personal Auto,Four-Door Car
BS91566,Arizona,F,College,543122,58161,68,0,141,Corporate Auto,Four-Door Car
IL40123,Nevada,F,College,568964,83640,70,0,471,Corporate Auto,Two-Door Car
MY32149,California,F,Master,368672,0,96,0,28,Personal Auto,Two-Door Car
SA91515,California,M,Bachelor,399258,0,111,0,700,Personal Auto,SUV
